"No.","Quantity","Comment","Designator","Footprint","Value","LCSC Price"
"1","1","6GHz","JP1","RF-SMD_FRF05002-JSS103M","6GHz",""
"2","1","16-213SDRC/S530-A3/TR8","PLED1","LED0402-R-RD","",""
"3","1","40MHz","U2","CRYSTAL-SMD_4P-L2.0-W1.6-BL","40MHz",""
"4","1","ESP32-C3FH4","U1","QFN-32_L5.0-W5.0-P0.50-TL-EP3.7","",""
"5","1","HT7833","U3","SOT-89_L4.5-W2.5-P1.50-LS4.2-BR","",""
"6","1","SN74AHCT1G125DBVR","U4","SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR","",""
"7","1","SRV05","D1","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL","",""
"8","1","TYPE-C-31-M-12","USBC1","USB-C_SMD-TYPE-C-31-M-12_1","",""
"9","2","2.2nH","L1,L2","L0402","2.2nH",""
"10","2","5.1kΩ","R1,R2","R0402","5.1kΩ",""
"11","2","Test-Point","TP1,TP2","Test-Point-0.5mm","","5.0360"
"12","2","TSA010A2518A","SW1,SW2","SW-SMD_L4.0-W3.0-LS5.0","",""
"13","3","1uF","C2,C10,C12","C0402","1uF",""
"14","3","10kΩ","R3,R4,R9","R0402","10kΩ",""
"15","4","15pF","C16,C17,C18,C19","C0402","15pF",""
"16","4","330Ω","R5,R6,R7,R8","R0402","330Ω",""
"17","5","10uF","C3,C4,C6,C9,C11","C0402","10uF",""
"18","8","100nF","C1,C5,C7,C8,C13,C14,C15,C20","C0402","100nF",""
"19","140","SKC6812RGBW-NW","LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED20,LED21,LED22,LED23,LED24,LED25,LED26,LED27,LED28,LED29,LED30,LED31,LED32,LED33,LED34,LED35,LED36,LED37,LED38,LED39,LED40,LED41,LED42,LED43,LED44,LED45,LED46,LED47,LED48,LED49,LED50,LED51,LED52,LED53,LED54,LED55,LED56,LED57,LED58,LED59,LED60,LED61,LED62,LED63,LED64,LED65,LED66,LED67,LED68,LED69,LED70,LED71,LED72,LED73,LED74,LED75,LED76,LED77,LED78,LED79,LED80,LED81,LED82,LED83,LED84,LED85,LED86,LED87,LED88,LED89,LED90,LED91,LED92,LED93,LED94,LED95,LED96,LED97,LED98,LED99,LED100,LED101,LED102,LED103,LED104,LED105,LED106,LED107,LED108,LED109,LED110,LED111,LED112,LED113,LED114,LED115,LED116,LED117,LED118,LED119,LED120,LED121,LED122,LED123,LED124,LED125,LED126,LED127,LED128,LED129,LED130,LED131,LED132,LED133,LED134,LED135,LED136,LED137,LED138,LED139,LED140","LED-SMD_4P-L5.0-W4.9-BR","",""
